firstName,lastName,war
Ray,Caldwell,36.5
Candy,Cummings,36.5
Andrelton,Simmons,36.5
Bill,Bradley,36.4
Bill,Mazeroski,36.4
Don,Money,36.4
Johnny,Cueto,36.3
Kevin,Kiermaier,36.3
Rick,Wise,36.3
Don,Buford,36.2
Eric,Davis,36.1
Paul,Derringer,36.1
Art,Devlin,36.1
Cecil,Cooper,36.0
Bob,Rush,36.0
Jim,Bottomley,35.9
Freddie,Fitzsimmons,35.9
Fritz,Ostermueller,35.9
Freddy,Parent,35.9
Wally,Joyner,35.8
Josh,Beckett,35.7
Danny,Murphy,35.7
Ed,Williamson,35.7
Willie,Kamm,35.6
Deacon,Phillippe,35.6
Tommy,Holmes,35.5
Burt,Hooton,35.5
Denny,Lyons,35.5
Ed,Reulbach,35.5
Dave,Foutz,35.4
Miller,Huggins,35.4
Aaron,Nola,35.3
Rick,Rhoden,35.3
Jack,Taylor,35.3
Mickey,Vernon,35.3
Jerry,Reuss,35.1
Eddie,Yost,35.1
Doyle,Alexander,35.0
Brady,Anderson,35.0
George,Burns,35.0
Ron,Fairly,35.0
Tom,Gordon,35.0
Bump,Hadley,35.0
Dan,Haren,35.0
Howie,Kendrick,35.0
Brickyard,Kennedy,35.0
Will,White,34.9
William,Bell,34.8
Jimmy,Dykes,34.8
Alex,Gordon,34.8
Frank,White,34.8
Cool Papa,Bell,34.7
Shin-Soo,Choo,34.7
Carl,Furillo,34.7
Shawn,Green,34.7
Stuffy,McInnis,34.7
Claude,Ritchey,34.7
Jered,Weaver,34.6
Elvis,Andrus,34.5
Jeff,Cirillo,34.5
Ken,Griffey,34.5
Derrek,Lee,34.5
Bobby,Shantz,34.5
Travis,Fryman,34.4
Pedro,Guerrero,34.4
Frank,Killen,34.4
Howie,Pollet,34.4
Slim,Sallee,34.4
B.J.,Surhoff,34.4
Tim,Wakefield,34.4
Russ,Ford,34.3
Thornton,Lee,34.3
Derek,Lowe,34.3
Willie,McGee,34.3
Chris,Carpenter,34.2
Ketel,Marte,34.2
Salvador,Perez,34.2
Anthony,Rendon,34.2
John,Tudor,34.2
Bob,Allison,34.1
Michael,Brantley,34.1
Ron,Gant,34.1
Harry,Howell,34.1
Bruce,Hurst,34.1
Marty,McManus,34.1
Johnny,Pesky,34.1
Tony,Cuccinello,34.0
Corey,Kluber,34.0
Dan,McGann,34.0
Ken,McMullen,34.0
George,Grantham,33.9
Rick,Sutcliffe,33.9
Ray,Durham,33.8
Billy,Nash,33.8
Robby,Thompson,33.8
Nick,Markakis,33.7
Bobby,Thomson,33.7
Dom,DiMaggio,33.6
Heinie,Zimmerman,33.6
Joe,Adcock,33.5
Mark,Ellis,33.5
Sonny,Gray,33.5
Smoky,Burgess,33.4
Ken,Caminiti,33.4
Elbie,Fletcher,33.4
Charlie,Leibrandt,33.4
Kid,Elberfeld,33.3
Harvey,Haddix,33.3
Johnny,Logan,33.3
Dwayne,Murphy,33.3
Jud,Wilson,33.3
Yu,Darvish,33.2
Gene,Woodling,33.2
Ken,Keltner,33.1
Rick,Monday,33.1
Richie,Hebner,33.0
Ray,Schalk,33.0
Earl,Torgeson,33.0
Gavy,Cravath,32.9
Jim,Devlin,32.9
Brian,Jordan,32.9
Van,Mungo,32.9
Bill,Doran,32.8
Jesse,Haines,32.8
Mort,Cooper,32.7
Sid,Fernandez,32.7
Ron,Hunt,32.7
Mickey,Rivers,32.7
Riggs,Stephenson,32.7
Sam,West,32.7
Ross,Youngs,32.7
Rico,Carty,32.6
Pat,Hentgen,32.6
Billy,Hoy,32.5
Adam,Jones,32.5
John,Valentin,32.5
Jimmy,Williams,32.5
Vern,Law,32.4
Rube,Marquard,32.4
Joe,Start,32.4
Ezra,Sutton,32.4
Kevin,Youkilis,32.4
Roy,Cullenbine,32.3
Darin,Erstad,32.3
Al,Rosen,32.3
Trevor,Story,32.3
Stephen,Strasburg,32.3
John,Denny,32.2
Monte,Irvin,32.1
Eddie,Lopat,32.1
Bobby,Murcer,32.1
Sonny,Siebert,32.1
Justin,Upton,32.1
Johnny,Antonelli,31.9
Larry,Dierker,31.9
Scott,Fletcher,31.9
Barry,Zito,31.9
Marty,Marion,31.8
Frank,McCormick,31.8
Wally,Pipp,31.8
Charlie,Ferguson,31.7
Eddie,Joost,31.7
Rudy,York,31.7
Ed,Brandt,31.6
Claude,Hendrix,31.6
Brian,McCann,31.6
Chick,Stahl,31.6
Andy,Benes,31.5
Ted,Kluszewski,31.5
Jose,Quintana,31.5
Bill,Lee,31.4
Shane,Victorino,31.4
Mike,Boddicker,31.3
Topsy,Hartsel,31.3
Bill,Russell,31.3
Chick,Hafey,31.2
Adonis,Terry,31.2
Duke,Farrell,31.1
Bill,Sherdel,31.1
Brandon,Webb,31.1
Jacoby,Ellsbury,31.0
Bill,Joyce,31.0
Ken,Raffensberger,31.0
Orlando,Hudson,30.9
Hunter,Pence,30.9
Greg,Vaughn,30.9
Jim,Bagby,30.8
J.D.,Martinez,30.8
Jim,Barr,30.7
Ice Box,Chamberlain,30.7
Rick,Ferrell,30.7
Firpo,Marberry,30.7
James,Shields,30.7
Hank,Thompson,30.7
Willis,Hudlin,30.6
Joe,Kuhel,30.6
Chris,Speier,30.6
Ginger,Beaumont,30.5
Bill,Byrd,30.5
John,Hiller,30.5
Arlie,Latham,30.5
DJ,LeMahieu,30.5
Sal,Maglie,30.5
Greg,Swindell,30.5
Cecil,Travis,30.5
Gary,Matthews,30.4
Harry,Steinfeldt,30.4
Hooks,Wiltse,30.4
Mike,Garcia,30.3
Mike,Hargrove,30.3
Teddy,Higuera,30.3
Frank,Lary,30.3
Joe,Nuxhall,30.3
Jhonny,Peralta,30.3
Bobby,Bonilla,30.2
Lance,Johnson,30.2
Max,Lanier,30.2
Woody,Williams,30.2
Sherm,Lollar,30.1
Kevin,McReynolds,30.1
Buck,Leonard,30.0
Lance,Lynn,30.0
John,Titus,30.0
Brandon,Belt,29.9
Dean,Chance,29.9
Bob,Ewing,29.9
Von,Hayes,29.9
Pete,Runnels,29.9
Del,Ennis,29.8
Kevin,Millwood,29.8
Johnny,Podres,29.8
Hal,Trosky,29.8
Lloyd,Waner,29.8
Phil,Garner,29.7
Joe,Niekro,29.7
Preacher,Roe,29.7
Marquis,Grissom,29.6
Dick,McBride,29.6
Bing,Miller,29.6
Hal,Schumacher,29.6
Brian,Roberts,29.5
Jason,Schmidt,29.5
Brandon,Crawford,29.4
Johnny,Sain,29.4
Charles,Zimmer,29.4
Ray,Chapman,29.3
Tom,Haller,29.3
Buddy,Lewis,29.3
Jim,Piersall,29.3
Mickey,Tettleton,29.3
Doug,Drabek,29.2
Kevin,Mitchell,29.2
Marcell,Ozuna,29.2
Dutch,Ruether,29.2
Kevin,Tapani,29.2
Jayson,Werth,29.2
Luis,Castillo,29.1
George,Hendrick,29.1
Johnny,Kling,29.1
Red,Rolfe,29.1
Matt,Cain,29.0
Benny,Kauff,29.0
Tino,Martinez,29.0
Nip,Winters,29.0
Coco,Crisp,28.9
Baby Doll,Jacobson,28.9
